,Category (service/promo),,in category write down the se
MAA HARDWARE RELEATED CALLS,,,JUST FOR INFO
"EaseMyTrip Travel UTSAV SALE

Use Promo Code: EMTUTSAV & Save up to 25% on Flights, Hotels, Bus, Cabs & Holiday packages

Hurry! Book now..
www.EaseMyTrip.com",Promotional,,"service - like OTPs, status updates etc."
"EaseMyTrip Travel UTSAV SALE

Use Promo Code: EMTUTSAV & Save up to 25% on Flights, Hotels, Bus, Cabs & Holiday packages

Hurry! Book now..
www.EaseMyTrip.com",Promotional,,"promo - all mostly spam messages, promotions, advertisements, etc"
IAPP-DEAR CUSTOMER  YOUR BILL HAS BEEN GENERATE FOR 21236 PLZ MAKE THE PAYMENT ON OR BEFORE 05 11 2023 11 59 PM FOR UNINTERRUPTED INTERNET S,Service,,
EASEMYTRIP TRAVEL UTSAV SALE  USE PROMO CODE  EMTUTSAV & SAVE UP TO 25  ON FLIGHTS  HOTELS  BUS  CABS & HOLIDAY PACKAGES  HURRY  BOOK NOW   WWW,Promotional,,"promo code, save up to, book now"
THE UNSOLICITED COMMERCIAL COMMUNICATION,,,
"Daily 2 lacs in (currency) markets with help of Auto Trading software. For Live call at, 07573005622 / wa.link/g53ee6
 - GuptaEnterprises",Promotional,,"currency,live call"
SHRIKANT ELECTRONICS  BEAUTIFUL THINGS HAPPEN TO BEAUTIFUL PEOPLE WITH BEAUTIFUL HEARTS. I WISH EVERY DAY GOD ADDS MORE BEAUTY TO UR LIFE HAPPY GANESH CHATURTHI,Promotional,,
IAPP-EASEMYTRIP TRAVEL UTSAV SALE  USE PROMO CODE  EMTUTSAV   SAVE UP TO 25  ON FLIGHTS  HOTELS  BUS  CABS   HOLIDAY PACKAGES  HURRY  BOOK N,Promotional,,"sale,promo code,save up to,book"
get promo call or sms,Promotional,,promo 
IAPP-EASEMYTRIP TRAVEL UTSAV SALE  USE PROMO CODE  EMTUTSAV   SAVE UP TO 25  ON FLIGHTS  HOTELS  BUS  CABS   HOLIDAY PACKAGES  HURRY  BOOK N,Promotional,,"sale,promo code,save up to,book"
"Your Cart Is Loaded With An Amazing Offer
BUY any 2 products at Just Rs.649
Code: BUY649
Hurry, Sale Ends Tomorrow!

Checkout: u1.mnge.co/qA009V9

BBLUNT",Promotional,,"offer,code,buy,products,sale,end"
"Attend a LIVE webinar on INTRODUCTION TO THE WORLD OF INVESTING on 31-Oct-2023. Hosted by NSE Academy
Register Now: bit.ly/7-8G  
NSE Academy",Promotional,,register now
